norma,jurisdiccion,requisito,funcion_afectada,evidencia,cumplimiento,brecha,validacion_externa_necesaria
NMX-R-060-SCFI-2013,México,"Clasificación y especificaciones de ventanas y productos arquitectónicos para cerramiento de fachada; límites mínimos por prestación","Catálogo de sistemas, ficha del componente, documento de cotización","data/catalog.ts sin campos de clasificación; ningún documento declara prestación","NO CUMPLE","El modelo de datos no tiene ningún campo de clasificación normativa. No es posible declarar a qué clase pertenece una ventana cotizada","Sí: ensayos en laboratorio acreditado sobre producto físico. El software no puede certificar por sí mismo"
NMX-R-060-SCFI-2013,México,"Declaración de prestaciones al usuario","Documento de cotización al cliente","components/reports/CustomerQuoteDocument.tsx no incluye prestaciones normativas","NO CUMPLE","El documento definitivo no declara ninguna prestación normativa","No para el software; sí para respaldar los valores declarados"
Serie NMX-R-068-SCFI-2014,México,"Métodos de prueba asociados","Ninguna: no hay registro de resultados de ensayo","Sin módulo de ensayos","NO APLICA AL SOFTWARE HOY","No hay dónde registrar un resultado de ensayo por sistema","Sí: laboratorio acreditado"
NOM-020-ENER-2011,México,"Eficiencia energética en edificaciones, envolvente de edificios para uso habitacional","Cálculo térmico","System.uf es una cadena informativa (p. ej. ""1.6 W/m²K""), no un valor calculado por configuración","NO CUMPLE","No hay cálculo de transmitancia por configuración real (vidrio, marco, proporción). El valor mostrado es de sistema, no de la ventana cotizada","Sí cuando se declare para cumplimiento; el cálculo por software debe seguir metodología reconocida"
EN 14351-1,Unión Europea,"Características de desempeño de ventanas y puertas exteriores; base del marcado CE","Exportación a la UE","Sin campos de desempeño","NO CUMPLE","Ninguna de las características normalizadas está modelada","Sí: ensayo inicial de tipo y control de producción en fábrica"
EN 12207 / EN 12208 / EN 12210,Unión Europea,"Clasificación de permeabilidad al aire, estanqueidad al agua y resistencia al viento","Ficha técnica del producto","Sin campos ni cálculo","NO CUMPLE","No se puede almacenar ni declarar la clase obtenida","Sí: ensayos EN 1026, EN 1027 y EN 12211"
ISO 10077-1 / 10077-2,Internacional,"Cálculo de transmitancia térmica de ventanas","Cálculo térmico","Sin implementación","NO CUMPLE","No hay cálculo de Uw a partir de Uf, Ug, psi y áreas","No si se implementa la metodología; sí para validación por ensayo (ISO 12567)"
AAMA/WDMA/CSA 101/I.S.2/A440 (NAFS),EE. UU. / Canadá,"Norma norteamericana de desempeño de ventanas y puertas","Exportación a Norteamérica","Sin campos de desempeño","NO CUMPLE","No modelado","Sí: ensayo y certificación por organismo acreditado"
NFRC 100 / 200,EE. UU.,"Determinación de U-factor y coeficiente de ganancia solar","Cálculo térmico","Sin implementación","NO CUMPLE","No modelado","Sí: simulación y ensayo por laboratorio acreditado NFRC"
ISO/IEC 25010:2023,Internacional,"Calidad del producto software: adecuación funcional y exactitud","Motor de cálculo","215 pruebas verdes; pero D-01, D-04, D-05, D-06 y D-09 son errores de exactitud confirmados","PARCIAL","La exactitud funcional falla en dimensionado de vidrio, corte y tipo de cambio","No"
ISO/IEC/IEEE 29119,Internacional,"Proceso y documentación de pruebas","Suites de prueba y CI","215 pruebas automatizadas con nombres de intención claros; pero el pipeline está deshabilitado (D-08) y no hay cobertura de vidrio ni de corte (D-11)","PARCIAL","Pruebas buenas sin ejecución continua ni cobertura de los cálculos críticos","No"
WCAG 2.2 AA,Internacional / México (obra pública),"Accesibilidad de la interfaz","Cotizador público","No evaluado en esta auditoría","NO EVALUADO","Sin evidencia en ninguna dirección","No: auditoría de accesibilidad, puede ser interna"
OWASP ASVS,Internacional,"Verificación de seguridad de la aplicación","Autenticación, acceso, entrada","Candado interno y límite de tasa verificados; pero contraseña única compartida (D-17) y sin gestión de usuarios","PARCIAL","Falla el nivel de autenticación y trazabilidad por usuario","No"
ISO/IEC 27001,Internacional,"Controles de seguridad y gestión","Gestión de accesos y secretos","Los secretos viven en Worker secrets y no en el código; sin datos bancarios en fuente. Pero sin usuarios ni bitácora por usuario","PARCIAL","Control de acceso e trazabilidad insuficientes para una certificación","Sí: auditoría de certificación"
ISO/IEC 42001:2023,Internacional,"Sistema de gestión de IA","Asesor público y agentes LUFT","Existe gobierno de propuestas y aprobación en lib/luft-ai; pero D-02 y D-03 son fallas de control de la IA en producción","PARCIAL","Sin registro de modelo, versión y parámetros por inferencia; sin evaluación documentada de riesgos de IA","Sí: auditoría de certificación"
ISO/IEC 23894:2023,Internacional,"Gestión de riesgos de IA","Asesor público","Sin documento de riesgos de IA","NO CUMPLE","No existe análisis de riesgos de IA documentado","No"
NIST AI RMF,EE. UU.,"Marco de gestión de riesgos de IA, perfil de IA generativa","Asesor público","D-02 demuestra falta de control sobre la salida del modelo","NO CUMPLE","Sin controles de gobernanza ni medición documentada","No"
LFPDPPP,México,"Protección de datos personales en posesión de particulares","Captura de cliente y expediente","Se capturan nombre, teléfono, correo y direcciones","NO EVALUADO","No se localizó aviso de privacidad ni política de retención en la aplicación","No: revisión legal"
